Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,META,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12 09:30:00-04:00,,296.6400146484375,239.25999450683594,362.0400085449219,,81.76000213623047,296.6899108886719,243.3300018310547,362.2049865722656,,82.0,294.8900146484375,239.22000122070312,359.57000732421875,,81.5999984741211,296.0799865722656,243.2100067138672,361.1000061035156,,81.68000030517578,1444355,1898437,822425,,737979
2026-06-12 09:31:00-04:00,,296.30999755859375,238.8800048828125,360.33050537109375,,81.43499755859375,297.1400146484375,240.0399932861328,362.6449890136719,,81.66500091552734,295.739990234375,238.75,360.33050537109375,,81.30999755859375,296.6700134277344,239.30499267578125,361.94000244140625,,81.6500015258789,262482,326151,74254,,132834
2026-06-12 09:32:00-04:00,,296.2349853515625,238.74000549316406,361.760009765625,,81.29000091552734,296.6199951171875,239.13999938964844,362.3900146484375,,81.61519622802734,295.6600036621094,238.44500732421875,360.3500061035156,,81.2699966430664,296.2550048828125,238.92999267578125,360.4200134277344,,81.42510223388672,178108,222335,89771,,99775
2026-06-12 09:33:00-04:00,,296.17999267578125,237.88999938964844,359.6600036621094,,81.0999984741211,296.6099853515625,239.08999633789062,361.84991455078125,,81.31999969482422,296.0,237.83999633789062,359.6600036621094,,81.06999969482422,296.2300109863281,238.75,361.75,,81.26200103759766,122204,244425,76960,,108034
2026-06-12 09:34:00-04:00,,295.3699951171875,237.43499755859375,358.2850036621094,,80.63999938964844,296.2300109863281,238.0800018310547,360.0,,81.0999984741211,295.19000244140625,237.1999969482422,358.2699890136719,,80.63999938964844,296.1499938964844,237.82000732421875,359.739990234375,,81.0999984741211,120495,312039,78057,,175416
2026-06-12 09:35:00-04:00,,295.2250061035156,238.0399932861328,358.510009765625,,80.5199966430664,295.3999938964844,238.43499755859375,359.2900085449219,,80.75,295.0,237.3699951171875,357.64300537109375,,80.5199966430664,295.3500061035156,237.44000244140625,358.260009765625,,80.61000061035156,135529,253360,119055,,117023
2026-06-12 09:36:00-04:00,,294.3800048828125,237.22000122070312,357.8949890136719,,80.58000183105469,295.31500244140625,238.14500427246094,358.760009765625,,80.62000274658203,294.1400146484375,237.10000610351562,357.5799865722656,,80.43000030517578,295.2099914550781,238.0399932861328,358.597900390625,,80.51499938964844,326460,268383,66841,,151130
2026-06-12 09:37:00-04:00,,294.1499938964844,237.44000244140625,357.8500061035156,,80.87229919433594,294.6199951171875,237.5399932861328,358.3800048828125,,80.9000015258789,294.1499938964844,237.22000122070312,357.7099914550781,,80.52999877929688,294.3900146484375,237.3000030517578,357.9049987792969,,80.56999969482422,124331,191755,59284,,107568
2026-06-12 09:38:00-04:00,,293.9700012207031,237.22000122070312,357.3299865722656,,80.88999938964844,294.2699890136719,237.64999389648438,357.9797058105469,,80.94999694824219,293.8599853515625,237.17999267578125,357.2900085449219,,80.81999969482422,294.1549987792969,237.44500732421875,357.7099914550781,,80.88999938964844,177925,210809,64203,,98625
2026-06-12 09:39:00-04:00,,293.5899963378906,237.5449981689453,357.5249938964844,,80.80500030517578,294.0299987792969,237.59500122070312,357.9100036621094,,80.94000244140625,293.57000732421875,237.0500030517578,357.2200012207031,,80.7699966430664,293.95001220703125,237.24000549316406,357.25,,80.87010192871094,102555,188369,56071,,88531
2026-06-12 09:40:00-04:00,,292.7099914550781,236.5399932861328,356.69000244140625,,80.69999694824219,293.75,237.86000061035156,357.94000244140625,,80.87999725341797,292.57000732421875,236.0800018310547,355.8710021972656,,80.55999755859375,293.6000061035156,237.5399932861328,357.5421142578125,,80.80829620361328,277899,459750,151762,,223289
2026-06-12 09:41:00-04:00,,292.739990234375,236.2100067138672,356.2699890136719,,80.58999633789062,293.19000244140625,236.6699981689453,357.0,,80.81999969482422,292.4100036621094,236.1999969482422,355.989990234375,,80.56999969482422,292.6700134277344,236.4600067138672,356.6000061035156,,80.69499969482422,244487,191317,85568,,104916
2026-06-12 09:42:00-04:00,,292.20001220703125,235.77999877929688,356.0400085449219,,80.46499633789062,292.92999267578125,236.1999969482422,356.2799987792969,,80.59989929199219,291.8774108886719,235.6999969482422,355.70001220703125,,80.43000030517578,292.7149963378906,236.1999969482422,356.2699890136719,,80.58999633789062,201985,369914,56453,,99617
2026-06-12 09:43:00-04:00,,292.4800109863281,235.92999267578125,355.8900146484375,,80.41000366210938,292.5150146484375,235.99000549316406,356.489990234375,,80.4800033569336,292.010009765625,235.6999969482422,355.5799865722656,,80.3604965209961,292.2300109863281,235.80499267578125,356.0400085449219,,80.44000244140625,137877,328495,47637,,73453
2026-06-12 09:44:00-04:00,,292.3949890136719,235.47999572753906,355.57000732421875,,80.37000274658203,292.5400085449219,236.0800018310547,356.4154968261719,,80.41999816894531,292.20001220703125,235.47999572753906,355.54998779296875,,80.33499908447266,292.4849853515625,235.92999267578125,355.8699951171875,,80.36000061035156,100584,256755,39307,,126289
2026-06-12 09:45:00-04:00,,292.07000732421875,235.10000610351562,354.6000061035156,,80.33999633789062,292.8799133300781,235.77999877929688,356.1400146484375,,80.48999786376953,291.8999938964844,235.10000610351562,354.45001220703125,,80.33000183105469,292.3900146484375,235.10000610351562,355.635009765625,,80.37000274658203,110988,371291,77242,,141591
2026-06-12 09:46:00-04:00,,291.8900146484375,234.72999572753906,355.06500244140625,,80.1500015258789,292.2250061035156,235.33999633789062,355.1199951171875,,80.37999725341797,291.7200012207031,234.51010131835938,353.8999938964844,,80.1500015258789,292.04998779296875,235.11000061035156,354.6700134277344,,80.34600067138672,108793,530633,174292,,186040
2026-06-12 09:47:00-04:00,,291.69000244140625,235.60000610351562,355.6400146484375,,80.17500305175781,292.010009765625,235.77000427246094,356.0799865722656,,80.27999877929688,291.6700134277344,234.67010498046875,354.8900146484375,,80.11499786376953,291.9100036621094,234.7498016357422,355.07000732421875,,80.13999938964844,103927,280708,55290,,81146
2026-06-12 09:48:00-04:00,,291.5400085449219,235.49000549316406,354.5799865722656,,80.02999877929688,291.8599853515625,235.75,355.7650146484375,,80.17500305175781,291.5299987792969,235.25999450683594,354.5799865722656,,80.02999877929688,291.67999267578125,235.57000732421875,355.6600036621094,,80.16999816894531,111951,280338,45944,,98630
2026-06-12 09:49:00-04:00,,291.69000244140625,235.2949981689453,354.17999267578125,,79.8499984741211,291.8999938964844,235.86000061035156,354.9700012207031,,80.03500366210938,291.3599853515625,235.21629333496094,354.1600036621094,,79.8499984741211,291.55999755859375,235.58999633789062,354.6050109863281,,80.03500366210938,134297,165022,47557,,561106
2026-06-12 09:50:00-04:00,,291.7300109863281,234.3800048828125,353.5,,79.69499969482422,291.8500061035156,235.375,354.2799987792969,,79.83999633789062,291.6199951171875,234.27000427246094,353.5,,79.66000366210938,291.67999267578125,235.3300018310547,354.19000244140625,,79.83999633789062,88187,255817,42219,,154833
2026-06-12 09:51:00-04:00,,292.0950012207031,234.0399932861328,353.8349914550781,,79.4800033569336,292.1199951171875,234.6199951171875,354.0,,79.70999908447266,291.6600036621094,233.77999877929688,353.3399963378906,,79.4800033569336,291.7200012207031,234.38999938964844,353.5,,79.68009948730469,93675,368111,43145,,238856
2026-06-12 09:52:00-04:00,,291.9200134277344,234.25,355.43499755859375,,79.62000274658203,292.125,234.32000732421875,355.43499755859375,,79.62999725341797,291.7799987792969,233.8800048828125,353.8399963378906,,79.41000366210938,292.1099853515625,234.0449981689453,353.8500061035156,,79.48100280761719,108543,223622,66112,,193119
2026-06-12 09:53:00-04:00,,291.62750244140625,234.0500030517578,356.03009033203125,,79.73999786376953,292.3299865722656,234.5,356.3599853515625,,79.7572021484375,291.5799865722656,234.02999877929688,355.32000732421875,,79.56999969482422,291.9100036621094,234.24000549316406,355.4150085449219,,79.62000274658203,189630,230996,78948,,177301
2026-06-12 09:54:00-04:00,,291.4200134277344,234.0449981689453,356.0799865722656,,79.6500015258789,291.67498779296875,234.1199951171875,356.2699890136719,,79.7699966430664,291.3599853515625,233.58999633789062,355.6700134277344,,79.63999938964844,291.6499938964844,234.05999755859375,356.1099853515625,,79.73500061035156,122111,314872,54097,,143901
2026-06-12 09:55:00-04:00,,291.7300109863281,234.46499633789062,356.30999755859375,,79.44999694824219,291.75,234.46499633789062,356.3500061035156,,79.68000030517578,291.2900085449219,233.93350219726562,355.7699890136719,,79.43000030517578,291.44000244140625,234.05999755859375,356.1099853515625,,79.63999938964844,125428,253564,43406,,246152
2026-06-12 09:56:00-04:00,,291.5249938964844,234.72000122070312,356.45001220703125,,79.37999725341797,291.8299865722656,234.88999938964844,356.510009765625,,79.4800033569336,291.44000244140625,234.35009765625,355.9599914550781,,79.36100006103516,291.7349853515625,234.5,356.29998779296875,,79.47000122070312,100461,337032,39556,,128810
2026-06-12 09:57:00-04:00,,291.3800048828125,234.1199951171875,356.8699951171875,,79.30000305175781,291.7200012207031,234.8199005126953,357.2149963378906,,79.41000366210938,291.3752136230469,234.11000061035156,356.42999267578125,,79.27999877929688,291.5249938964844,234.72500610351562,356.4599914550781,,79.38999938964844,91447,273673,56214,,125514
2026-06-12 09:58:00-04:00,,291.3900146484375,234.82000732421875,357.57000732421875,,79.5,291.510009765625,234.82000732421875,357.5799865722656,,79.51000213623047,291.2200012207031,234.05999755859375,356.5799865722656,,79.29000091552734,291.3599853515625,234.1999969482422,356.8500061035156,,79.30999755859375,84958,248423,34163,,114167
2026-06-12 09:59:00-04:00,,291.135009765625,234.17999267578125,356.6300048828125,,79.66000366210938,291.510009765625,234.85000610351562,357.6499938964844,,79.69000244140625,291.0,234.1199951171875,356.3299865722656,,79.4800033569336,291.4100036621094,234.82000732421875,357.6499938964844,,79.5,219722,179663,45890,,127040
2026-06-12 10:00:00-04:00,,291.0299987792969,235.1300048828125,357.3900146484375,,79.65499877929688,291.20001220703125,235.1300048828125,357.3900146484375,,79.7300033569336,290.8399963378906,234.1199951171875,356.510009765625,,79.58999633789062,291.1000061035156,234.19000244140625,356.6300048828125,,79.66000366210938,158888,269963,40487,,138248
2026-06-12 10:01:00-04:00,,290.739990234375,235.13999938964844,357.8500061035156,,79.75,291.031005859375,235.24879455566406,357.8800048828125,,79.77999877929688,290.63250732421875,234.91000366210938,357.340087890625,,79.65499877929688,291.031005859375,235.11000061035156,357.44000244140625,,79.65499877929688,178971,203631,28994,,133028
2026-06-12 10:02:00-04:00,,290.9100036621094,235.38499450683594,357.6000061035156,,79.7249984741211,291.0450134277344,235.38999938964844,357.8599853515625,,79.88999938964844,290.6099853515625,235.02999877929688,357.20001220703125,,79.72000122070312,290.70001220703125,235.13999938964844,357.7300109863281,,79.75,216201,205903,40791,,329923
2026-06-12 10:03:00-04:00,,291.1499938964844,235.97999572753906,357.75,,79.76000213623047,291.3399963378906,236.08999633789062,357.8999938964844,,79.79000091552734,290.7300109863281,235.10009765625,357.2001037597656,,79.67500305175781,290.9100036621094,235.3699951171875,357.5400085449219,,79.72000122070312,122109,285213,39471,,129289
2026-06-12 10:04:00-04:00,,291.4599914550781,235.97500610351562,357.4700012207031,,79.7020034790039,291.69989013671875,236.08999633789062,358.20001220703125,,79.76499938964844,291.1000061035156,235.83999633789062,357.2817077636719,,79.6404037475586,291.1600036621094,235.97000122070312,357.70001220703125,,79.76000213623047,139408,209729,65226,,120812
2026-06-12 10:05:00-04:00,,291.1449890136719,235.8699951171875,357.0,,79.75,291.4800109863281,236.01499938964844,357.4549865722656,,79.79499816894531,291.1099853515625,235.5601043701172,356.6499938964844,,79.69999694824219,291.4200134277344,235.97999572753906,357.3999938964844,,79.70500183105469,113845,126512,28580,,112493
2026-06-12 10:06:00-04:00,,291.28009033203125,236.17999267578125,357.80999755859375,,79.6050033569336,291.4700012207031,236.25,358.07000732421875,,79.73999786376953,291.1449890136719,235.83999633789062,356.9700012207031,,79.5999984741211,291.1449890136719,235.8699951171875,357.0050048828125,,79.73999786376953,91130,263164,42186,,153820
2026-06-12 10:07:00-04:00,,291.7049865722656,236.63499450683594,358.1499938964844,,79.66000366210938,291.739990234375,236.64990234375,358.239990234375,,79.69999694824219,291.3179931640625,236.07000732421875,357.7200012207031,,79.58999633789062,291.3179931640625,236.18499755859375,357.7799987792969,,79.6050033569336,172313,250454,40638,,132494
