Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23 13:30:00+00:00,252.57000732421875,210.09500122070312,302.20001220703125,600.3674926757812,92.37999725341797,254.55999755859375,211.0,303.0,605.7869873046875,92.48500061035156,252.3699951171875,209.5500030517578,300.5299987792969,600.1500244140625,91.86000061035156,253.99000549316406,209.77999877929688,300.5299987792969,605.7869873046875,91.98999786376953,3097434,2933760,1522474,1398162,1714893
2026-03-23 13:31:00+00:00,253.01499938964844,210.05999755859375,301.3800048828125,601.885009765625,92.76000213623047,253.25999450683594,210.42999267578125,302.2799987792969,602.3098754882812,92.90499877929688,252.0500030517578,209.94639587402344,301.260009765625,600.0,92.30000305175781,252.5500030517578,210.09500122070312,302.260009765625,600.110107421875,92.3499984741211,170326,343927,75327,99738,221689
2026-03-23 13:32:00+00:00,251.88009643554688,209.6999969482422,301.7099914550781,599.5250244140625,92.38999938964844,253.1699981689453,210.14999389648438,301.8299865722656,601.8499755859375,92.88999938964844,251.88009643554688,209.69000244140625,300.9200134277344,599.010009765625,92.33999633789062,253.07000732421875,210.02999877929688,301.3399963378906,601.8499755859375,92.75,211653,253216,74950,82952,164340
2026-03-23 13:33:00+00:00,252.27999877929688,210.20010375976562,301.2850036621094,600.0399780273438,92.75,252.40499877929688,210.5,301.8399963378906,600.3499755859375,92.80000305175781,251.9600067138672,209.50999450683594,301.010009765625,599.385009765625,92.38999938964844,251.9600067138672,209.7100067138672,301.7300109863281,599.5499877929688,92.38999938964844,152062,239350,114194,42615,210617
2026-03-23 13:34:00+00:00,251.52000427246094,210.49000549316406,301.29998779296875,599.7000732421875,92.94499969482422,252.27999877929688,210.63999938964844,301.45001220703125,600.2598876953125,93.01000213623047,251.36000061035156,210.1999969482422,300.70001220703125,599.3200073242188,92.62999725341797,252.27999877929688,210.1999969482422,301.2099914550781,600.0,92.75,169471,267152,135681,40051,339124
2026-03-23 13:35:00+00:00,252.05999755859375,210.52000427246094,300.6700134277344,600.9088134765625,93.01499938964844,252.1199951171875,210.8000030517578,301.4200134277344,601.7899780273438,93.2300033569336,251.44009399414062,210.36000061035156,300.42999267578125,599.7000122070312,92.88999938964844,251.5399932861328,210.4600067138672,301.260009765625,599.8499755859375,92.94499969482422,136388,272916,84152,104492,345695
2026-03-23 13:36:00+00:00,252.6300048828125,210.860107421875,301.0799865722656,601.4749755859375,93.02200317382812,252.6300048828125,210.97000122070312,301.1400146484375,601.6699829101562,93.11000061035156,251.82000732421875,210.39999389648438,300.54010009765625,600.3300170898438,92.92500305175781,252.00010681152344,210.5,300.7099914550781,600.6599731445312,93.01000213623047,107248,206352,98242,55329,184492
2026-03-23 13:37:00+00:00,252.8000030517578,210.8800048828125,300.7799987792969,601.469970703125,92.7300033569336,253.0850067138672,211.30999755859375,301.30999755859375,602.3400268554688,93.08000183105469,252.52749633789062,210.83999633789062,300.69000244140625,601.280029296875,92.72000122070312,252.6199951171875,210.91000366210938,301.1400146484375,601.510009765625,93.0199966430664,159808,304842,102361,58919,302152
