Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10 09:30:00-04:00,306.9949951171875,276.0299987792969,353.7250061035156,598.4600219726562,74.02999877929688,307.239990234375,276.7799987792969,355.7200012207031,602.4500122070312,74.08000183105469,306.1199951171875,274.1239013671875,353.67999267578125,597.0,73.66000366210938,306.8299865722656,274.20001220703125,354.239990234375,599.010009765625,73.72200012207031,4448363,1120235,1032266,1396318,750463
2026-08-10 09:31:00-04:00,305.42999267578125,275.38629150390625,353.55499267578125,603.2750244140625,74.04499816894531,307.3103942871094,276.1700134277344,353.9800109863281,603.9899291992188,74.20999908447266,305.1400146484375,275.3699951171875,353.1199951171875,598.4600219726562,74.01499938964844,306.9750061035156,275.92999267578125,353.80999755859375,598.4600219726562,74.08999633789062,546302,116622,90848,107761,117033
2026-08-10 09:32:00-04:00,305.17999267578125,275.3399963378906,353.3599853515625,602.0700073242188,73.92790222167969,305.7200012207031,275.8399963378906,353.80499267578125,604.4699096679688,74.12999725341797,304.6300048828125,275.1099853515625,352.8800048828125,600.8983764648438,73.9000015258789,305.4100036621094,275.385009765625,353.55499267578125,603.6099853515625,74.04499816894531,453792,98948,77519,79582,85232
2026-08-10 09:33:00-04:00,306.0060119628906,274.7749938964844,354.1744079589844,600.5349731445312,73.86499786376953,306.25,275.45001220703125,354.2099914550781,602.5599975585938,73.94000244140625,304.67999267578125,274.5,353.13079833984375,600.3201293945312,73.6500015258789,305.2200012207031,275.4414978027344,353.2900085449219,602.0700073242188,73.91999816894531,388842,84745,61435,55788,129366
2026-08-10 09:34:00-04:00,306.6300048828125,274.29998779296875,354.6669006347656,598.9149780273438,73.95500183105469,307.0050048828125,275.389892578125,354.7900085449219,602.0,74.06999969482422,305.9549865722656,274.25,354.1499938964844,598.25,73.86000061035156,306.0050048828125,274.80999755859375,354.19000244140625,600.5349731445312,73.88999938964844,274073,80189,42258,93995,95039
2026-08-10 09:35:00-04:00,306.1650085449219,273.7349853515625,354.45001220703125,596.0,74.27999877929688,306.72900390625,274.5199890136719,355.0199890136719,598.7000122070312,74.2969970703125,306.07000732421875,273.60009765625,354.1275939941406,595.5,73.95500183105469,306.67498779296875,274.2850036621094,354.55010986328125,598.7000122070312,73.95500183105469,175142,111251,44897,75835,160254
2026-08-10 09:36:00-04:00,305.42498779296875,274.0801086425781,354.1203918457031,598.2000122070312,74.36499786376953,306.30999755859375,274.29559326171875,354.6050109863281,598.3800048828125,74.37000274658203,305.29998779296875,273.6300048828125,354.1199951171875,595.2999877929688,74.15080261230469,306.1499938964844,273.70001220703125,354.3699951171875,595.3200073242188,74.2699966430664,237252,64562,37540,91614,106727
2026-08-10 09:37:00-04:00,305.30999755859375,274.7300109863281,353.8299865722656,598.4099731445312,74.2699966430664,305.54998779296875,274.7699890136719,354.2300109863281,598.9849853515625,74.45500183105469,304.8999938964844,274.1499938964844,353.7101135253906,597.3201293945312,74.20050048828125,305.44989013671875,274.1499938964844,354.1099853515625,598.2000122070312,74.38999938964844,298632,91031,33089,63359,91881
