Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28 14:38:00+00:00,277.1050109863281,231.46499633789062,325.4800109863281,637.6400146484375,107.23970031738281,277.4180908203125,231.75,325.5400085449219,638.3099975585938,107.37999725341797,277.05499267578125,231.33999633789062,325.2200012207031,637.510009765625,107.13999938964844,277.3599853515625,231.6365966796875,325.5299987792969,638.1815185546875,107.25,34230,65517,86358,23367,63232
2025-11-28 14:39:00+00:00,277.0201110839844,231.50999450683594,324.69500732421875,637.8939208984375,107.04499816894531,277.1400146484375,231.54989624023438,325.8699951171875,638.219970703125,107.2593002319336,276.8702087402344,231.25,324.5600891113281,637.5800170898438,106.94999694824219,277.1050109863281,231.49000549316406,325.5450134277344,637.780029296875,107.2249984741211,92473,70510,93677,24532,48867
2025-11-28 14:40:00+00:00,276.54071044921875,231.33999633789062,323.84991455078125,638.5311889648438,106.78340148925781,277.04998779296875,231.69000244140625,324.7099914550781,638.6998901367188,107.05999755859375,276.5199890136719,231.32000732421875,323.3699951171875,637.7999877929688,106.7699966430664,277.0199890136719,231.5240020751953,324.7063903808594,637.85498046875,107.04499816894531,73182,107727,94885,39604,84279
2025-11-28 14:41:00+00:00,276.1499938964844,231.0500030517578,323.6300048828125,637.6156005859375,106.83499908447266,276.5899963378906,231.43499755859375,324.3599853515625,638.4149780273438,106.85659790039062,276.1099853515625,231.01669311523438,323.400390625,637.0900268554688,106.66000366210938,276.5775146484375,231.30999755859375,323.7900085449219,638.4099731445312,106.77999877929688,74649,60626,101674,40491,28524
2025-11-28 14:42:00+00:00,276.3299865722656,231.31500244140625,324.3699951171875,639.3499755859375,106.62000274658203,276.42138671875,231.3300018310547,324.489990234375,639.5098876953125,106.83499908447266,276.1400146484375,230.92999267578125,323.29998779296875,637.208984375,106.5999984741211,276.2239990234375,231.0,323.6050109863281,637.75,106.83499908447266,72871,59944,87691,45874,40540
2025-11-28 14:43:00+00:00,276.2200012207031,231.5,324.1300048828125,640.719970703125,106.7249984741211,276.4800109863281,231.5699005126953,324.4800109863281,641.1799926757812,106.7300033569336,276.17999267578125,231.3000030517578,324.0799865722656,639.3200073242188,106.52999877929688,276.3399963378906,231.3300018310547,324.3500061035156,639.4450073242188,106.61900329589844,49336,50393,60637,122545,30890
2025-11-28 14:44:00+00:00,276.42010498046875,231.16000366210938,322.8900146484375,640.090087890625,106.51499938964844,276.5299987792969,231.44000244140625,324.13330078125,640.8499755859375,106.79499816894531,276.1099853515625,231.16000366210938,322.80999755859375,640.0,106.44999694824219,276.2049865722656,231.44000244140625,324.12091064453125,640.8099975585938,106.73500061035156,62586,44323,89162,47100,37080
2025-11-28 14:45:00+00:00,276.3999938964844,231.2949981689453,321.6000061035156,638.45751953125,106.29499816894531,276.5398864746094,231.4582977294922,322.8599853515625,640.3900146484375,106.55999755859375,276.239990234375,231.14010620117188,321.5,638.2100219726562,106.2699966430664,276.45001220703125,231.2050018310547,322.8399963378906,640.1400146484375,106.52999877929688,59518,68178,138837,51808,55410
2025-11-28 14:46:00+00:00,276.3299865722656,231.6750030517578,321.8999938964844,640.1400146484375,106.31500244140625,276.45001220703125,231.70140075683594,322.17999267578125,640.3806762695312,106.44000244140625,276.2799987792969,231.3000030517578,321.29998779296875,638.5700073242188,106.27999877929688,276.3699951171875,231.30999755859375,321.54998779296875,638.5999755859375,106.30000305175781,37382,71574,117915,30646,41508
2025-11-28 14:47:00+00:00,276.4364013671875,231.8292999267578,322.8999938964844,640.9089965820312,106.36499786376953,276.45001220703125,231.85000610351562,322.8999938964844,640.9199829101562,106.38999938964844,276.260009765625,231.63999938964844,321.9700012207031,639.8900146484375,106.30999755859375,276.32501220703125,231.6649932861328,321.989990234375,640.1900024414062,106.30999755859375,59650,82000,82965,33720,553035
